Lead,x1,Code,x2,Name,x3,Short description,x4,Source of tag,x5,Note,Trail
{ 37122,", new TiffTagInfo {IdInteger =",37122,", IdString = """,CompressedBitsPerPixel,""", ShortDescription = """,Specific to compressed data; states the compressed bits per pixel.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37377,", new TiffTagInfo {IdInteger =",37377,", IdString = """,ShutterSpeedValue,""", ShortDescription = """,Shutter speed.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37378,", new TiffTagInfo {IdInteger =",37378,", IdString = """,ApertureValue,""", ShortDescription = """,The lens aperture.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37379,", new TiffTagInfo {IdInteger =",37379,", IdString = """,BrightnessValue,""", ShortDescription = """,The value of brightness.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37380,", new TiffTagInfo {IdInteger =",37380,", IdString = """,ExposureBiasValue,""", ShortDescription = """,The exposure bias.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37381,", new TiffTagInfo {IdInteger =",37381,", IdString = """,MaxApertureValue,""", ShortDescription = """,The smallest F number of the lens.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37382,", new TiffTagInfo {IdInteger =",37382,", IdString = """,SubjectDistance,""", ShortDescription = ""","The distance to the subject, given in meters.",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37383,", new TiffTagInfo {IdInteger =",37383,", IdString = """,MeteringMode,""", ShortDescription = """,The metering mode.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37384,", new TiffTagInfo {IdInteger =",37384,", IdString = """,LightSource,""", ShortDescription = """,The kind of light source.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37385,", new TiffTagInfo {IdInteger =",37385,", IdString = """,Flash,""", ShortDescription = """,Indicates the status of flash when the image was shot.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37386,", new TiffTagInfo {IdInteger =",37386,", IdString = """,FocalLength,""", ShortDescription = ""","The actual focal length of the lens, in mm.",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37387,", new TiffTagInfo {IdInteger =",37387,", IdString = """,FlashEnergy,""", ShortDescription = """,Amount of flash energy (BCPS).,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37388,", new TiffTagInfo {IdInteger =",37388,", IdString = """,SpatialFrequencyResponse,""", ShortDescription = """,SFR of the camera.,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37389,", new TiffTagInfo {IdInteger =",37389,", IdString = """,Noise,""", ShortDescription = """,Noise measurement values.,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37390,", new TiffTagInfo {IdInteger =",37390,", IdString = """,FocalPlaneXResolution,""", ShortDescription = """,Number of pixels per FocalPlaneResolutionUnit (37392) in ImageWidth direction for main image.,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37391,", new TiffTagInfo {IdInteger =",37391,", IdString = """,FocalPlaneYResolution,""", ShortDescription = """,Number of pixels per FocalPlaneResolutionUnit (37392) in ImageLength direction for main image.,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37392,", new TiffTagInfo {IdInteger =",37392,", IdString = """,FocalPlaneResolutionUnit,""", ShortDescription = """,Unit of measurement for FocalPlaneXResolution(37390) and FocalPlaneYResolution(37391).,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37393,", new TiffTagInfo {IdInteger =",37393,", IdString = """,ImageNumber,""", ShortDescription = ""","Number assigned to an image, e.g., in a chained image burst.",""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37394,", new TiffTagInfo {IdInteger =",37394,", IdString = """,SecurityClassification,""", ShortDescription = """,Security classification assigned to the image.,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37395,", new TiffTagInfo {IdInteger =",37395,", IdString = """,ImageHistory,""", ShortDescription = """,Record of what has been done to the image.,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37396,", new TiffTagInfo {IdInteger =",37396,", IdString = """,SubjectLocation,""", ShortDescription = """,Indicates the location and area of the main subject in the overall scene.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,,""" } },"
{ 37397,", new TiffTagInfo {IdInteger =",37397,", IdString = """,ExposureIndex,""", ShortDescription = """,Encodes the camera exposure index setting when image was captured.,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37398,", new TiffTagInfo {IdInteger =",37398,", IdString = """,TIFF/EPStandardID,""", ShortDescription = ""","For current spec, tag value equals 1 0 0 0.",""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37399,", new TiffTagInfo {IdInteger =",37399,", IdString = """,SensingMethod,""", ShortDescription = """,Type of image sensor.,""" , SourceOfTag = "" ",,""" , Note = """,,""" } },"
{ 37500,", new TiffTagInfo {IdInteger =",37500,", IdString = """,MakerNote,""", ShortDescription = """,Manufacturer specific information.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 37510,", new TiffTagInfo {IdInteger =",37510,", IdString = """,UserComment,""", ShortDescription = """,Keywords or comments on the image; complements ImageDescription.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 37520,", new TiffTagInfo {IdInteger =",37520,", IdString = """,SubsecTime,""", ShortDescription = """,A tag used to record fractions of seconds for the DateTime tag.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 37521,", new TiffTagInfo {IdInteger =",37521,", IdString = """,SubsecTimeOriginal,""", ShortDescription = """,A tag used to record fractions of seconds for the DateTimeOriginal tag.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 37522,", new TiffTagInfo {IdInteger =",37522,", IdString = """,SubsecTimeDigitized,""", ShortDescription = """,A tag used to record fractions of seconds for the DateTimeDigitized tag.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 37724,", new TiffTagInfo {IdInteger =",37724,", IdString = """,ImageSourceData,""", ShortDescription = """,Used by Adobe Photoshop.,""" , SourceOfTag = "" ",Private,""" , Note = """, ,""" } },"
{ 40091,", new TiffTagInfo {IdInteger =",40091,", IdString = """,XPTitle,""", ShortDescription = ""","Title tag used by Windows, encoded in UCS2",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 40092,", new TiffTagInfo {IdInteger =",40092,", IdString = """,XPComment,""", ShortDescription = ""","Comment tag used by Windows, encoded in UCS2",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 40093,", new TiffTagInfo {IdInteger =",40093,", IdString = """,XPAuthor,""", ShortDescription = ""","Author tag used by Windows, encoded in UCS2",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 40094,", new TiffTagInfo {IdInteger =",40094,", IdString = """,XPKeywords,""", ShortDescription = ""","Keywords tag used by Windows, encoded in UCS2",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 40095,", new TiffTagInfo {IdInteger =",40095,", IdString = """,XPSubject,""", ShortDescription = ""","Subject tag used by Windows, encoded in UCS2",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 40960,", new TiffTagInfo {IdInteger =",40960,", IdString = """,FlashpixVersion,""", ShortDescription = """,The Flashpix format version supported by a FPXR file.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,Mandatory in the Exif IFD,""" } },"
{ 40961,", new TiffTagInfo {IdInteger =",40961,", IdString = """,ColorSpace,""", ShortDescription = """,The color space information tag is always recorded as the color space specifier.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """,Mandatory in the Exif IFD,""" } },"
{ 40962,", new TiffTagInfo {IdInteger =",40962,", IdString = """,PixelXDimension,""", ShortDescription = """,Specific to compressed data; the valid width of the meaningful image.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 40963,", new TiffTagInfo {IdInteger =",40963,", IdString = """,PixelYDimension,""", ShortDescription = """,Specific to compressed data; the valid height of the meaningful image.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 40964,", new TiffTagInfo {IdInteger =",40964,", IdString = """,RelatedSoundFile,""", ShortDescription = """,Used to record the name of an audio file related to the image data.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 40965,", new TiffTagInfo {IdInteger =",40965,", IdString = """,Interoperability IFD,""", ShortDescription = """,A pointer to the Exif-related Interoperability IFD.,""" , SourceOfTag = "" ",Private,""" , Note = """, ,""" } },"
{ 41483,", new TiffTagInfo {IdInteger =",41483,", IdString = """,FlashEnergy,""", ShortDescription = ""","Indicates the strobe energy at the time the image is captured, as measured in Beam Candle Power Seconds",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41484,", new TiffTagInfo {IdInteger =",41484,", IdString = """,SpatialFrequencyResponse,""", ShortDescription = ""","Records the camera or input device spatial frequency table and SFR values in the direction of image width, image height, and diagonal direction, as specified in ISO 12233.",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41486,", new TiffTagInfo {IdInteger =",41486,", IdString = """,FocalPlaneXResolution,""", ShortDescription = """,Indicates the number of pixels in the image width (X) direction per FocalPlaneResolutionUnit on the camera focal plane.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41487,", new TiffTagInfo {IdInteger =",41487,", IdString = """,FocalPlaneYResolution,""", ShortDescription = """,Indicates the number of pixels in the image height (Y) direction per FocalPlaneResolutionUnit on the camera focal plane.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41488,", new TiffTagInfo {IdInteger =",41488,", IdString = """,FocalPlaneResolutionUnit,""", ShortDescription = """,Indicates the unit for measuring FocalPlaneXResolution and FocalPlaneYResolution.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41492,", new TiffTagInfo {IdInteger =",41492,", IdString = """,SubjectLocation,""", ShortDescription = """,Indicates the location of the main subject in the scene.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41493,", new TiffTagInfo {IdInteger =",41493,", IdString = """,ExposureIndex,""", ShortDescription = """,Indicates the exposure index selected on the camera or input device at the time the image is captured.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41495,", new TiffTagInfo {IdInteger =",41495,", IdString = """,SensingMethod,""", ShortDescription = """,Indicates the image sensor type on the camera or input device.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41728,", new TiffTagInfo {IdInteger =",41728,", IdString = """,FileSource,""", ShortDescription = """,Indicates the image source.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41729,", new TiffTagInfo {IdInteger =",41729,", IdString = """,SceneType,""", ShortDescription = """,Indicates the type of scene.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41730,", new TiffTagInfo {IdInteger =",41730,", IdString = """,CFAPattern,""", ShortDescription = """,Indicates the color filter array (CFA) geometric pattern of the image sensor when a one-chip color area sensor is used.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41985,", new TiffTagInfo {IdInteger =",41985,", IdString = """,CustomRendered,""", ShortDescription = ""","Indicates the use of special processing on image data, such as rendering geared to output.",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41986,", new TiffTagInfo {IdInteger =",41986,", IdString = """,ExposureMode,""", ShortDescription = """,Indicates the exposure mode set when the image was shot.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41987,", new TiffTagInfo {IdInteger =",41987,", IdString = """,WhiteBalance,""", ShortDescription = """,Indicates the white balance mode set when the image was shot.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41988,", new TiffTagInfo {IdInteger =",41988,", IdString = """,DigitalZoomRatio,""", ShortDescription = """,Indicates the digital zoom ratio when the image was shot.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41989,", new TiffTagInfo {IdInteger =",41989,", IdString = """,FocalLengthIn35mmFilm,""", ShortDescription = ""","Indicates the equivalent focal length assuming a 35mm film camera, in mm.",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41990,", new TiffTagInfo {IdInteger =",41990,", IdString = """,SceneCaptureType,""", ShortDescription = """,Indicates the type of scene that was shot.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41991,", new TiffTagInfo {IdInteger =",41991,", IdString = """,GainControl,""", ShortDescription = """,Indicates the degree of overall image gain adjustment.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41992,", new TiffTagInfo {IdInteger =",41992,", IdString = """,Contrast,""", ShortDescription = """,Indicates the direction of contrast processing applied by the camera when the image was shot.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41993,", new TiffTagInfo {IdInteger =",41993,", IdString = """,Saturation,""", ShortDescription = """,Indicates the direction of saturation processing applied by the camera when the image was shot.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41994,", new TiffTagInfo {IdInteger =",41994,", IdString = """,Sharpness,""", ShortDescription = """,Indicates the direction of sharpness processing applied by the camera when the image was shot.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41995,", new TiffTagInfo {IdInteger =",41995,", IdString = """,DeviceSettingDescription,""", ShortDescription = """,This tag indicates information on the picture-taking conditions of a particular camera model.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 41996,", new TiffTagInfo {IdInteger =",41996,", IdString = """,SubjectDistanceRange,""", ShortDescription = """,Indicates the distance to the subject.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 42016,", new TiffTagInfo {IdInteger =",42016,", IdString = """,ImageUniqueID,""", ShortDescription = """,Indicates an identifier assigned uniquely to each image.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 42032,", new TiffTagInfo {IdInteger =",42032,", IdString = """,CameraOwnerName,""", ShortDescription = """,Camera owner name as ASCII string.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 42033,", new TiffTagInfo {IdInteger =",42033,", IdString = """,BodySerialNumber,""", ShortDescription = """,Camera body serial number as ASCII string.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 42034,", new TiffTagInfo {IdInteger =",42034,", IdString = """,LensSpecification,""", ShortDescription = ""","This tag notes minimum focal length, maximum focal length, minimum F number in the minimum focal length, and minimum F number in the maximum focal length, which are specification information for the lens that was used in photography. When the minimum F number is unknown, the notation is 0/0.",""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 42035,", new TiffTagInfo {IdInteger =",42035,", IdString = """,LensMake,""", ShortDescription = """,Lens manufacturer name as ASCII string.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 42036,", new TiffTagInfo {IdInteger =",42036,", IdString = """,LensModel,""", ShortDescription = """,Lens model name and number as ASCII string.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 42037,", new TiffTagInfo {IdInteger =",42037,", IdString = """,LensSerialNumber,""", ShortDescription = """,Lens serial number as ASCII string.,""" , SourceOfTag = "" ",Exif Private IFD,""" , Note = """, ,""" } },"
{ 42112,", new TiffTagInfo {IdInteger =",42112,", IdString = """,GDAL_METADATA,""", ShortDescription = ""","Used by the GDAL library, holds an XML list of name=value 'metadata' values about the image as a whole, and about specific samples.",""" , SourceOfTag = "" ",Private,""" , Note = """, ,""" } },"
{ 42113,", new TiffTagInfo {IdInteger =",42113,", IdString = """,GDAL_NODATA,""", ShortDescription = ""","Used by the GDAL library, contains an ASCII encoded nodata or background pixel value.",""" , SourceOfTag = "" ",Private,""" , Note = """, ,""" } },"
{ 48129,", new TiffTagInfo {IdInteger =",48129,", IdString = """,PixelFormat,""", ShortDescription = """,A 128-bit Globally Unique Identifier (GUID) that identifies the image pixel format.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 17",""" , Note = """, ,""" } },"
{ 48130,", new TiffTagInfo {IdInteger =",48130,", IdString = """,Transformation,""", ShortDescription = """,Specifies the transformation to be applied when decoding the image to present the desired representation.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 23",""" , Note = """, ,""" } },"
{ 48131,", new TiffTagInfo {IdInteger =",48131,", IdString = """,Uncompressed,""", ShortDescription = """,Specifies that image data is uncompressed.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 23",""" , Note = """, ,""" } },"
{ 48132,", new TiffTagInfo {IdInteger =",48132,", IdString = """,ImageType,""", ShortDescription = """,Specifies the image type of each individual frame in a multi-frame file.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 27",""" , Note = """, ,""" } },"
{ 48256,", new TiffTagInfo {IdInteger =",48256,", IdString = """,ImageWidth,""", ShortDescription = ""","Specifies the number of columns in the transformed photo, or the number of pixels per scan line.",""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 21",""" , Note = """, ,""" } },"
{ 48257,", new TiffTagInfo {IdInteger =",48257,", IdString = """,ImageHeight,""", ShortDescription = """,Specifies the number of pixels or scan lines in the transformed photo.,""" , SourceOfTag = "" ","HD Photo Feature Spec, p. 21",""" , Note = """, ,""" } },"
